Jump Start Agents & Agentic Workflows Catalog,,,,,
Agents/Agentic Workflow Name,Use Case Description,Agents / Tools Used,Domain,Customer,Link
Agents Escalation Workflow,Customer service escalation system with AI agent handling returns/exchanges/refunds and human approval workflow for complex cases,"Workflow Orchestrator, Customer Service AI Agent, Human Escalation Workflow (Azure Logic App), End User Proxy, Approver Proxy",Customer Service / E-commerce,Retail/E-commerce Company,/agents/customer_service/agent_escalation.md
AI Customer Support Agents,"Multi-agent telecommunications customer support system with specialized agents for sales, technical support, billing, and activation","Sales Agent, Technical Support Agent, Billing Agent, Activation Agent, User Agent, Planned Team, Telco Team",Telecommunications,Telecommunications Company,/agents/customer_service/customer_support.md
AIDA - AI Insights Data Analysis Assistant,AI-powered data analysis and visualization platform with multiple specialized agents for comprehensive data insights,"Data Summarizer Agent, Goal Explorer Agent, Persona Explorer Agent, Visualization Generator Agent, Visualization Editor Agent, Chart Executor Agent, Infographer Agent",Data Analytics & Business Intelligence,"Data Analysts, Business Intelligence Teams",/agents/data/aida.md
Autonomous Data Labeling Agent Framework (Adala),Framework for creating autonomous data processing agents that learn and improve skills iteratively through environment feedback,"Adala Agent, SkillSet, Skills (Classification, Entity Extraction, Summarization, etc.), Learning Loop",Data Labeling & Annotation,"Data Science Teams, ML Engineers",/agents/data/data_labeler_agent.md
Open Data QnA - Text-to-SQL Workflow,Text-to-SQL and data interaction system that processes natural language questions to retrieve data from SQL databases,"Embedder Agent, Description Agent, Build SQL Agent, Validate SQL Agent, Debug SQL Agent, Response Agent, Visualize Agent",Data Analytics & Business Intelligence,"Data Analysts, Business Users",/agents/data/data-qna.md
Vanna - AI-Powered SQL Generation,RAG framework for generating SQL queries from natural language with training on database schema and documentation,"Vanna Instance (Orchestrator), LLM Service Client, Vector Store Client, Embedding Model, SQL Database Connector",Text-to-SQL & Business Intelligence,"Database Users, Business Analysts",/agents/data/vanna.md
MedAuth - Automated Prior Authorization,AI system for automating prior authorization decisions in healthcare with comprehensive evaluation pipeline,"Auto-Determination Agent, Policy Summarization Agent, Determination Summarization Agent, Azure AI Evaluation Agent",Healthcare / Health Insurance,"Healthcare Payers, Insurance Companies",/agents/healthcare/med_auth.md
Potpie AI Agent Platform,Developer platform that builds knowledge graphs from code repositories and deploys specialized AI agents for software development tasks,"Code Understanding Agents, QnA Agent, Debugging Agent, Unit Test Agent, Code Generation Agent, Custom Agent Runtime",Software Development / Developer Tools,Software Development Teams,/agents/platforms/potpie.md
Creative Writer Agent,Content creation system for outdoor retailer with multiple agents collaborating to create blog articles with product integration,"Researcher Agent, Product Agent, Writer Agent, Editor Agent, Orchestrator",Retail / Content Marketing,Outdoor Retail Company (Contoso),/agents/retail/creative_writer.md
Diagram Generator Tool,Next.js application that converts natural language descriptions into Mermaid diagram syntax using AI,Diagram Generator (Single Agent),Diagramming & Visualization Tools,"Developers, Technical Writers",/agents/software-engineering/diagram_creator.md
