Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
,,,
,,,
Business Capability Level 1,Level 2,Agent,Use Case
Business Development,Sales,RFP Questionnaire,Create a customized RFP questionnaire
Computer Vision,Image Processing,VisionAgent,AI system for solving computer vision tasks by generating Python code with planning and coding agents
Content Creation,Writing,Creative Writer Agent,Content creation system for outdoor retailer with multiple agents collaborating to create blog articles with product integration
Customer Service,Support,AI Customer Support Agents,"Multi-agent telecommunications customer support system with specialized agents for sales, technical support, billing, and activation"
Customer Service,Workflow Management,Agents Escalation Workflow,Customer service escalation system with AI agent handling returns/exchanges/refunds and human approval workflow for complex cases
Data Analysis,Insights,AIDA - AI Insights Data Analysis Assistant,AI-powered data analysis and visualization platform with multiple specialized agents for comprehensive data insights
Data Management,Data Retrieval,Data Agent,This agent is another plug and play agent which provide information from various tables with a data base or from multiple data bases
Data Management,Generation,Synthetic Data Generation Framework,Framework for generating synthetic data including Q&A pairs and examples using various LLM providers
Data Management,Labeling,Autonomous Data Labeling Agent Framework (Adala),Framework for creating autonomous data processing agents that learn and improve skills iteratively through environment feedback
Data Management,Query,Open Data QnA - Text-to-SQL Workflow,Text-to-SQL and data interaction system that processes natural language questions to retrieve data from SQL databases
Data Management,Query,Vanna - AI-Powered SQL Generation,RAG framework for generating SQL queries from natural language with training on database schema and documentation
DevOps,Deployment,Deployment Engineer,"Creates, executes, monitors and improves pipelines"
Document Management,Creation,CV Maker agent,Create a customized CV
Document Management,Creation,Proposal maker agent,Create a full proposal
Document Management,Creation,Word file generator agent,Creates the final proposal word document
Document Management,Generation,AI Documentation Generation & Azure DevOps Deployment,Multi-stage documentation creation system with Azure DevOps integration for project management
Document Management,Review,AI Document Review Assistant,Document compliance and quality assurance system with specialized review agents for different aspects
Document Management,Summarization,Chunk summariser agent,Summarises individual chunks of uploaded document to handle larger files
Document Management,Summarization,RFP Summariser agent,Summarize and format an RFP into a standardized template
Document Management,Validation,Document Validation Agents,Two step process (2 separate multi agent workflows) to validate a Financial report against a Copy Editing SOP
Document Management,Validation,File validity check agent,Intelligently validate correctness of incoming file
Document Management,Validation,Proposal validator agent,Validate an RFP response
Document Management,Verification,SOP based Document verification (Deep researcher),"AI-powered Deep Research Agent generates SOP for editing Healthcare Providers' investor reports, ensuring linguistic accuracy, consistency, and regulatory compliance"
Documentation,Visualization,Diagram Generator Tool,Next.js application that converts natural language descriptions into Mermaid diagram syntax using AI
Healthcare,Authorization,MedAuth - Automated Prior Authorization,AI system for automating prior authorization decisions in healthcare with comprehensive evaluation pipeline
Human Resources,Recruitment,HR Recruitment Agentic system,"The Recruitment agentic workflow aims at assisting a recruiter in their E2E journey, from creating Job descriptions, posting on Job boards, Resume scoring, panel selection and scheduling interviews. The workflow is dynamically upskilled for resume parsing based on any job profile intended to be created"
Human Resources,Training,HR Training and Certification Agentic System,"This agentic flow prepares the personalised training plan for each individual by looking at various information like employee skills, employee time availability, employee location etc and shared the detailed report to HR and employees over email"
Insurance,Claims,Claim reimbursement report,"A claim reimbursement agentic solution uses Agentic AI to automate, compare, and process reimbursement claims in industries like healthcare and insurance. These agents mimic human decision-making and continuously learn from data and feedback"
