Unnamed: 0,Unnamed: 1,Unnamed: 2,CONFIDENTIAL & PROPRIETARY,NOT FOR DISTRIBUTION,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
,,,Updated,2025-06-19 00:00:00,,,
,,,,,,,
,,,Agents/Agentic Flows,Use case description,Domain,Customer(s),Link
,,,"Requirement, Estimation, Planning ","An SDLC agentic solution uses Agentic AIto streamline the early phases of software development: Requirement Gathering, Effort Estimation, and Project Planning. These agents collaborate with stakeholders, analyze data, and generate actionable insights to accelerate and improve decision-making",SDLC,"BMI, MARS",
,,,Agentic Procurement and Negotiation,"The Procurement agent workflow works on assistenting in procurement of materials in a supply chain, this agentic workflow aims at analysing the various suppliers and their performance, quality of produce, commercials to provide the reccomended negotiation strategy and also drafting the contract for the engagement",Procurement,,
,,,HR Training and Certification Agentic System,"This agentic flow prepares the personalised training plan for each individual by looking at various information like employee skills, employee time availability, employee location etc and shared the detailed report to HR and employees over email",HR,Sandvik,
,,,HR Recruitment Agentic system,"The Recruitment agentic workflow aims at assisting a recruiter in their E2E journey, from creating Job descriptions, posting on Job boards, Resume scoring, panel selection and scheduling interviews. The workflow is dynamically upskilledfor resume parsing based on any job profile intended to be created",HR,Sandvik,
,,,Workday Flow Tester,"As new workflows are created, generate automated test cases",Testing,Yes,
,,,Policy Comparison,"A claim comparison agentic solution uses Agentic AI to automate and optimize the process of comparing insurance claims. This is especially valuable in industries like insurance, where accuracy, speed, and compliance are critical. Benefts of this is Dynamic Decision-Making, Enhanced Accuracy and Speed, Compliance and Transparency",Healthcare,Medica,
,,,Claim reimbursement report,"A claim reimbursement agentic solution uses Agentic AI to automate, compare, and process reimbursement claims in industries like healthcare and insurance. These agents mimic human decision-making and continuously learn from data and feedback.",Healthcare,Medica,
,,,Demand Forcasting,"A demand forecasting agentic solution leverages Agentic AI to predict future demand, determine optimal stock levels, and conduct supplier analysis by evaluating forecast trends, historical data, and business rules",Demand Forcast (SCM),Mars,
,,,Legal for Corporate,Customer Legal agent for state filing research,Legal,,
,,,Document Validation Agents,Two step process (2 separate multi agent workflows) to validate a Financial report against a Copy Editing SOP,cross functional,KPMG (Demo only),
